config_id,repeat_id,error_mode,forward_eps,grad_eps,layer_types,final_loss
2,19,both,0.0001,0.0001,LayerNorm,2.332415
3,10,both,0.0001,0.0001,CausalSelfAttention,2.332415
3,11,both,0.0001,0.0001,CausalSelfAttention,2.332417
3,12,both,0.0001,0.0001,CausalSelfAttention,2.332417
3,13,both,0.0001,0.0001,CausalSelfAttention,2.332416
3,14,both,0.0001,0.0001,CausalSelfAttention,2.332417
3,15,both,0.0001,0.0001,CausalSelfAttention,2.332418
3,16,both,0.0001,0.0001,CausalSelfAttention,2.332421
3,17,both,0.0001,0.0001,CausalSelfAttention,2.332418
3,18,both,0.0001,0.0001,CausalSelfAttention,2.332417
3,19,both,0.0001,0.0001,CausalSelfAttention,2.332417
4,10,both,0.001,0.001,none,2.332419
4,11,both,0.001,0.001,none,2.332417
4,12,both,0.001,0.001,none,2.332418
4,13,both,0.001,0.001,none,2.332419
4,14,both,0.001,0.001,none,2.332414
4,15,both,0.001,0.001,none,2.332418
4,16,both,0.001,0.001,none,2.332417
4,17,both,0.001,0.001,none,2.332418
4,18,both,0.001,0.001,none,2.332417
4,19,both,0.001,0.001,none,2.332418
5,10,both,0.001,0.001,MLP,2.332417
5,11,both,0.001,0.001,MLP,2.332417
5,12,both,0.001,0.001,MLP,2.332415
5,13,both,0.001,0.001,MLP,2.332417
5,14,both,0.001,0.001,MLP,2.332422
5,15,both,0.001,0.001,MLP,2.332418
5,16,both,0.001,0.001,MLP,2.332418
5,17,both,0.001,0.001,MLP,2.332415
5,18,both,0.001,0.001,MLP,2.332418
5,19,both,0.001,0.001,MLP,2.332418
6,10,both,0.001,0.001,LayerNorm,2.332417
6,11,both,0.001,0.001,LayerNorm,2.332417
6,12,both,0.001,0.001,LayerNorm,2.332418
6,13,both,0.001,0.001,LayerNorm,2.332419
6,14,both,0.001,0.001,LayerNorm,2.332416
6,15,both,0.001,0.001,LayerNorm,2.332421
6,16,both,0.001,0.001,LayerNorm,2.332417
6,17,both,0.001,0.001,LayerNorm,2.332416
6,18,both,0.001,0.001,LayerNorm,2.332416
6,19,both,0.001,0.001,LayerNorm,2.332418
7,10,both,0.001,0.001,CausalSelfAttention,2.332417
7,11,both,0.001,0.001,CausalSelfAttention,2.332419
7,12,both,0.001,0.001,CausalSelfAttention,2.332415
7,13,both,0.001,0.001,CausalSelfAttention,2.332419
7,14,both,0.001,0.001,CausalSelfAttention,2.332417
7,15,both,0.001,0.001,CausalSelfAttention,2.332415
7,16,both,0.001,0.001,CausalSelfAttention,2.332419
7,17,both,0.001,0.001,CausalSelfAttention,2.332415
7,18,both,0.001,0.001,CausalSelfAttention,2.332419
7,19,both,0.001,0.001,CausalSelfAttention,2.332415
8,10,both,0.01,0.01,none,2.332417
8,11,both,0.01,0.01,none,2.332418
8,12,both,0.01,0.01,none,2.332417
8,13,both,0.01,0.01,none,2.332415
8,14,both,0.01,0.01,none,2.332417
8,15,both,0.01,0.01,none,2.332417
8,16,both,0.01,0.01,none,2.332417
8,17,both,0.01,0.01,none,2.332418
8,18,both,0.01,0.01,none,2.332415
8,19,both,0.01,0.01,none,2.332416
9,10,both,0.01,0.01,MLP,2.332415
9,11,both,0.01,0.01,MLP,2.332416
9,12,both,0.01,0.01,MLP,2.332416
9,13,both,0.01,0.01,MLP,2.332418
9,14,both,0.01,0.01,MLP,2.332418
9,15,both,0.01,0.01,MLP,2.332418
9,16,both,0.01,0.01,MLP,2.332418
9,17,both,0.01,0.01,MLP,2.332417
9,18,both,0.01,0.01,MLP,2.332418
9,19,both,0.01,0.01,MLP,2.332415
10,10,both,0.01,0.01,LayerNorm,2.332418
10,11,both,0.01,0.01,LayerNorm,2.33242
0,20,both,0.0001,0.0001,none,2.332416
0,21,both,0.0001,0.0001,none,2.332416
0,22,both,0.0001,0.0001,none,2.332416
0,23,both,0.0001,0.0001,none,2.332417
0,24,both,0.0001,0.0001,none,2.332417
0,25,both,0.0001,0.0001,none,2.332414
0,26,both,0.0001,0.0001,none,2.332419
0,27,both,0.0001,0.0001,none,2.332419
0,28,both,0.0001,0.0001,none,2.332415
0,29,both,0.0001,0.0001,none,2.332417
0,30,both,0.0001,0.0001,none,2.332418
0,31,both,0.0001,0.0001,none,2.33242
